ID,User Story or Use Case,Priority,Status,Acceptance Criteria,Repository Evidence
PB-01,"As a reader, I can load a recommendation feed from the backend",P0,Done,"The Android client renders a successful PostgreSQL-backed feed response",ToutiaoAndroid/app/src/main;backend/api/feed_handler.go
PB-02,"As a reader, I can distinguish text, image, video, and official-top cards",P0,Done,"Each supported content type is mapped to its dedicated card presentation",ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/ui/feed/cards
PB-03,"As a reader, I can pull to refresh without duplicated stories",P0,Done,"Only newer records are requested and duplicate IDs are removed",ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/ui/feed/FeedViewModel.kt
PB-04,"As a reader, I can load older stories with cursor pagination",P0,Done,"Reaching the list end requests the next cursor and preserves current cards",ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/domain/usecase/LoadMoreFeedUseCase.kt
PB-05,"As a reader, I can see cached feed content when the backend is unavailable",P0,Done,"Initial loading uses scene-filtered Room data before or after a failed network refresh",ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/data/repository/FeedRepository.kt
PB-06,"As a reader, I can browse independent content channels",P0,Done,"Recommend Following Hot Shenzhen Video Featured Image War Sports Finance and Technology return channel-specific content",backend/application/feed_service.go
PB-07,"As a reader, I can open a story and view its complete content",P1,Done,"Selecting a card navigates by news ID to a detail API-backed screen",backend/api/news_detail_handler.go;ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/ui/detail
PB-08,"As a reader, I can start video content and leave the screen safely",P1,Done,"Video playback prepares starts pauses and releases with screen lifecycle",ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/ui/detail/NewsDetailScreen.kt
PB-09,"As a maintainer, I can run the backend and PostgreSQL using Docker Compose",P0,Done,"The stack starts and the health endpoint returns ok",docker-compose.prod.yml;backend/Dockerfile
PB-10,"As a maintainer, I can verify core behavior with automated tests",P0,Done,"Android backend integration and stress-test scripts complete successfully",scripts/run_all_tests.sh;ToutiaoAndroid/app/src/test;backend
PB-11,"As a maintainer, I can run CI and security checks for the final commit",P0,In Progress,"GitHub Actions completes CI CodeQL Trivy and ZAP jobs and publishes artifacts","Historical Android CI succeeded at 0d5bcd4; remaining workflows are local and require final push"
PB-12,"As a reader, I receive ranking reasons that explain surfaced content",P1,Done,"The feed response and UI expose deterministic recommendation reasons",backend/application/feed_service.go;ToutiaoAndroid/app/src/main/java/com/xuziyi/toutiaoandroid/ui/feed/cards/components/RecommendationReasonChip.kt
PB-13,"As a future user, I can sign in search and interact socially",P2,Deferred,"Authentication search likes comments and account synchronization are implemented and tested",Future scope
